Motion Database Converter
    models/RightFingerJoint21y_joint_visu.wrl -> d19626a13a08387890317675df2c2e7fe9db5eef
    models/RightFingerJoint12y_joint_visu.wrl -> 7097cf96d3597a795575a5abe9256e0143c2ed0f
    models/LeftFingerJoint43y_joint_visu.wrl -> 395c609ed268feb940855099f538c46a54c3a4d8
    models/RightFingerJoint53y_joint_visu.wrl -> 9d95789602901425bad9b4435dea2b4be5431202
    models/LeftFingerJoint42y_joint_visu.wrl -> e487f595b7019c407f92b0f00de5260e64e56c97
    models/LAsegment_joint_visu.wrl -> bb0d5feb0455fbd2c425d138b7f487260f4bf1bc
    models/BTSegment_joint_visu.wrl -> 22abe8deeec243c99e31ec02fa59372e98ac8471
    models/RKsegment_joint_visu.wrl -> 18b381d65e3337bcb0d1ff5928773884a1e17d57
    models/LeftFingerJoint41y_joint_visu.wrl -> 61402f6746307792f4303e574af749b94086a4ec
    models/LSCsegment_joint_visu.wrl -> c32a20b7e31becf394d78b5655efc5565b038b80
    models/LeftFingerJoint11y_joint_visu.wrl -> 0cbfceda8d89deb375f7933c8078af5147ec84b2
    models/RightFingerJoint41y_joint_visu.wrl -> 020541ab865e4e3e9fa2695e0f4eff71b52ad52d
    models/RWy_joint_visu.wrl -> 2b11028aee46fb62e614338be3dd5644c1a824ee
    models/LeftFingerJoint23y_joint_visu.wrl -> 478e70ae519508040adb535da7a7998bba1b8c42
    models/RSsegment_joint_visu.wrl -> 612de2c24f203d5846930907a5df9cef5d9578dd
    models/LeftFingerJoint12y_joint_visu.wrl -> 024079388e0352cf2dd7d6c0c4d45ee34851930c
    models/LWsegment_joint_visu.wrl -> 3c8bc8f30c2fdfc5956ddac1f868ed768806d7fd
    models/RightFingerJoint22y_joint_visu.wrl -> 0b36fec3092c4692c7809ee795740f148ffb0be8
    models/RMrot_joint_visu.wrl -> a56cefc9affb5ca3f87c8ad0a9ef880f3355f2f0
    models/LeftFingerJoint40y_joint_visu.wrl -> ebee55b3729d26fb04a73d5b427025dbf464f288
    models/LeftFingerJoint21y_joint_visu.wrl -> a890d2d55d8afbe701827374715b7e671862cc4f
    models/REsegment_joint_visu.wrl -> d709750461631f850f8441b85f4861ca47df51ae
    models/RHsegment_joint_visu.wrl -> 54fb3a26ddb8f2d419752eb76c4e488efef6b43c
    models/RightFingerJoint52y_joint_visu.wrl -> 44f18db78bed86bf1ddb981a1e678027e51db918
    models/RightFingerJoint50y_joint_visu.wrl -> 13ede518eb635943fcd4564499f4fdb69d27780e
    models/LFx_joint_visu.wrl -> 5d47b342ff68d5d2b2d9c7e22c5cf098909060c6
    models/LKsegment_joint_visu.wrl -> 5780b7d3a585852e8707cb2363bfa8d4d3b461f7
    models/LeftFingerJoint13y_joint_visu.wrl -> 8a00c78adf18bdebd78a513323b5f28f02d117be
    models/RightFingerJoint51y_joint_visu.wrl -> d78052a78ea694e1d35e6b91354db0a64493fbf4
    models/RightFingerJoint11y_joint_visu.wrl -> a05a4116eafe1434c190e03faa62753bcd333105
    models/LeftFingerJoint22y_joint_visu.wrl -> 7fee0851bbbc487512ffb12e46d738fc0837aa0c
    models/LAy_joint_visu.wrl -> de3953d8ffbf479f0eb229748cfdd897a408012e
    models/LEsegment_joint_visu.wrl -> 1bf5a0382df53cb4aef1ebf578e4d535a0cd3d7b
    models/RightFingerJoint31y_joint_visu.wrl -> 4f0efb942b57fffc5b3177798a71bcdbb9b92042
    models/LeftFingerJoint32y_joint_visu.wrl -> 685ae87120ee0d9ba5d764c8ff99385aa9d79a04
    models/RightFingerJoint32y_joint_visu.wrl -> 47d29dfecd9514a3973b021c83bc361364341093
    models/LeftFingerJoint31y_joint_visu.wrl -> d24789234312bf68c77c7830508763d07f9feec0
    models/LMrot_joint_visu.wrl -> 94047f5a29e3373271bba5d61ccbbacf9bfb01af
    models/LWy_joint_visu.wrl -> 33ba8f54774fa65838a8ae38c3d558f06fe00bc0
    models/LeftFingerJoint52y_joint_visu.wrl -> 3f7d688708cf5f55104348d5bc102dcc7b7a0a66
    models/LSsegment_joint_visu.wrl -> f34e7eae1658b3ae618b5bc40ebc1da529c7e0a3
    models/RAsegment_joint_visu.wrl -> bf9735bb8cbd74e01e9087f0ccad4783edc49231
    models/LeftFingerJoint50y_joint_visu.wrl -> c2f6364fe16768bd1382d1b02c327d9dcf43fd03
    models/LeftFingerJoint51y_joint_visu.wrl -> 0c2664365d375a3d9dd190818483e292027433d3
    models/LeftHandSegment_joint_visu.wrl -> 581235ef3290f47c527e74693e4a232056642bcf
    models/BTy_joint_visu.wrl -> 818c33f75e2b278db824d223d8796b1d1ca48213
    models/RWsegment_joint_visu.wrl -> de46619cf74eb2ffe74ab7fdaaf4cd485034b959
    models/RFx_joint_visu.wrl -> 7e0fad07af2c1f6a4bad2e40caa9cdcfafa5d748

Missing subject markers: []

Subject conversion error:
Conversion Error: avg/avg = 33.41, worst avg = 40.81, worst max = 111.85

The per-frame conversion errors are: (avg/max for subject and every object)
  Frame 0: 40.81/106.30
  Frame 1: 40.80/106.19
  Frame 2: 40.73/105.98
  Frame 3: 40.71/106.04
  Frame 4: 40.70/106.09
  Frame 5: 40.60/105.85
  Frame 6: 40.59/105.63
  Frame 7: 40.50/105.68
  Frame 8: 40.48/105.62
  Frame 9: 40.48/105.46
  Frame 10: 40.47/105.36
  Frame 11: 40.44/105.24
  Frame 12: 40.43/105.15
  Frame 13: 40.42/105.13
  Frame 14: 40.39/105.14
  Frame 15: 40.35/105.19
  Frame 16: 40.34/105.09
  Frame 17: 40.34/105.00
  Frame 18: 40.33/105.03
  Frame 19: 40.31/104.95
  Frame 20: 40.30/104.79
  Frame 21: 40.28/104.72
  Frame 22: 40.27/104.63
  Frame 23: 40.25/104.56
  Frame 24: 40.24/104.55
  Frame 25: 40.23/104.48
  Frame 26: 40.22/104.51
  Frame 27: 40.21/104.48
  Frame 28: 40.19/104.52
  Frame 29: 40.18/104.52
  Frame 30: 40.16/104.48
  Frame 31: 40.14/104.44
  Frame 32: 40.12/104.36
  Frame 33: 40.11/104.39
  Frame 34: 40.08/104.48
  Frame 35: 40.05/104.37
  Frame 36: 40.04/104.25
  Frame 37: 40.03/104.18
  Frame 38: 40.02/104.10
  Frame 39: 40.00/104.15
  Frame 40: 39.99/103.99
  Frame 41: 39.98/104.06
  Frame 42: 39.96/104.08
  Frame 43: 39.95/104.07
  Frame 44: 39.94/104.01
  Frame 45: 39.92/104.06
  Frame 46: 39.91/104.01
  Frame 47: 39.90/103.97
  Frame 48: 39.89/104.00
  Frame 49: 39.88/103.94
  Frame 50: 39.86/103.96
  Frame 51: 39.83/104.00
  Frame 52: 39.82/104.07
  Frame 53: 39.79/104.08
  Frame 54: 39.78/104.07
  Frame 55: 39.75/104.11
  Frame 56: 39.69/104.08
  Frame 57: 39.67/104.17
  Frame 58: 39.65/104.29
  Frame 59: 39.61/104.22
  Frame 60: 39.57/104.47
  Frame 61: 39.56/104.63
  Frame 62: 39.52/104.48
  Frame 63: 39.51/104.63
  Frame 64: 39.48/104.68
  Frame 65: 39.46/104.73
  Frame 66: 39.42/104.88
  Frame 67: 39.40/105.03
  Frame 68: 39.38/105.24
  Frame 69: 39.36/105.40
  Frame 70: 39.31/105.48
  Frame 71: 39.30/105.51
  Frame 72: 39.26/105.91
  Frame 73: 39.23/105.81
  Frame 74: 39.19/105.91
  Frame 75: 39.12/105.98
  Frame 76: 39.06/106.36
  Frame 77: 39.02/106.12
  Frame 78: 39.01/105.77
  Frame 79: 38.98/105.87
  Frame 80: 38.91/105.83
  Frame 81: 38.88/105.67
  Frame 82: 38.77/105.82
  Frame 83: 38.72/105.72
  Frame 84: 38.67/105.39
  Frame 85: 38.63/105.32
  Frame 86: 38.53/105.32
  Frame 87: 38.48/105.24
  Frame 88: 38.40/105.26
  Frame 89: 38.36/105.08
  Frame 90: 38.29/104.56
  Frame 91: 38.22/104.84
  Frame 92: 38.12/104.68
  Frame 93: 38.04/104.49
  Frame 94: 37.94/104.42
  Frame 95: 37.86/104.55
  Frame 96: 37.81/104.30
  Frame 97: 37.70/103.98
  Frame 98: 37.61/104.28
  Frame 99: 37.53/104.01
  Frame 100: 37.42/103.83
  Frame 101: 37.24/103.93
  Frame 102: 37.09/103.46
  Frame 103: 36.99/102.82
  Frame 104: 36.90/102.09
  Frame 105: 36.69/103.01
  Frame 106: 36.54/102.99
  Frame 107: 36.40/102.60
  Frame 108: 36.29/102.05
  Frame 109: 36.18/101.55
  Frame 110: 36.06/101.29
  Frame 111: 35.94/101.47
  Frame 112: 35.77/101.01
  Frame 113: 35.70/100.62
  Frame 114: 35.49/100.56
  Frame 115: 35.35/100.49
  Frame 116: 35.25/100.36
  Frame 117: 35.08/100.12
  Frame 118: 34.90/100.17
  Frame 119: 34.71/100.31
  Frame 120: 34.57/99.50
  Frame 121: 34.40/99.13
  Frame 122: 34.23/98.65
  Frame 123: 34.05/98.34
  Frame 124: 33.92/97.86
  Frame 125: 33.72/96.92
  Frame 126: 33.57/96.99
  Frame 127: 33.38/96.74
  Frame 128: 33.18/96.54
  Frame 129: 33.06/96.05
  Frame 130: 32.91/95.84
  Frame 131: 32.65/94.69
  Frame 132: 32.55/94.37
  Frame 133: 32.33/93.70
  Frame 134: 32.13/93.55
  Frame 135: 31.99/93.17
  Frame 136: 31.85/92.57
  Frame 137: 31.69/92.01
  Frame 138: 31.54/91.67
  Frame 139: 31.42/91.17
  Frame 140: 31.23/90.91
  Frame 141: 31.15/90.39
  Frame 142: 31.04/89.98
  Frame 143: 30.96/89.31
  Frame 144: 30.81/89.33
  Frame 145: 30.74/88.72
  Frame 146: 30.63/88.44
  Frame 147: 30.59/88.00
  Frame 148: 30.52/87.54
  Frame 149: 30.42/86.86
  Frame 150: 30.30/86.31
  Frame 151: 30.17/85.40
  Frame 152: 30.02/84.89
  Frame 153: 29.39/81.36
  Frame 154: 29.10/79.88
  Frame 155: 29.06/79.07
  Frame 156: 29.02/78.62
  Frame 157: 29.02/78.21
  Frame 158: 29.05/77.76
  Frame 159: 29.11/77.57
  Frame 160: 29.14/77.47
  Frame 161: 29.20/77.47
  Frame 162: 29.25/77.43
  Frame 163: 29.31/77.38
  Frame 164: 29.34/77.33
  Frame 165: 29.35/77.27
  Frame 166: 29.32/77.29
  Frame 167: 29.32/77.39
  Frame 168: 29.29/77.48
  Frame 169: 29.27/77.54
  Frame 170: 29.27/77.66
  Frame 171: 29.27/77.79
  Frame 172: 29.29/77.84
  Frame 173: 29.28/77.94
  Frame 174: 29.30/78.00
  Frame 175: 29.33/78.09
  Frame 176: 29.35/78.17
  Frame 177: 29.37/78.21
  Frame 178: 29.41/78.31
  Frame 179: 29.45/78.38
  Frame 180: 29.45/78.38
  Frame 181: 29.48/78.39
  Frame 182: 29.52/78.51
  Frame 183: 29.57/78.60
  Frame 184: 29.58/78.66
  Frame 185: 29.59/78.75
  Frame 186: 29.63/78.78
  Frame 187: 29.64/78.79
  Frame 188: 29.67/78.79
  Frame 189: 29.69/78.79
  Frame 190: 29.70/78.84
  Frame 191: 29.72/78.83
  Frame 192: 29.73/78.81
  Frame 193: 29.75/78.80
  Frame 194: 29.77/78.80
  Frame 195: 29.78/78.76
  Frame 196: 29.78/78.73
  Frame 197: 29.79/78.73
  Frame 198: 29.80/78.71
  Frame 199: 29.80/78.70
  Frame 200: 29.81/78.68
  Frame 201: 29.82/78.70
  Frame 202: 29.83/78.69
  Frame 203: 29.85/78.70
  Frame 204: 29.85/78.70
  Frame 205: 29.86/78.68
  Frame 206: 29.86/78.69
  Frame 207: 29.86/78.67
  Frame 208: 29.86/78.65
  Frame 209: 29.86/78.61
  Frame 210: 29.85/78.56
  Frame 211: 29.85/78.51
  Frame 212: 29.83/78.45
  Frame 213: 29.81/78.37
  Frame 214: 29.80/78.28
  Frame 215: 29.79/78.21
  Frame 216: 29.78/78.16
  Frame 217: 29.76/78.06
  Frame 218: 29.75/77.99
  Frame 219: 29.74/77.96
  Frame 220: 29.73/77.90
  Frame 221: 29.71/77.86
  Frame 222: 29.69/77.84
  Frame 223: 29.69/77.79
  Frame 224: 29.68/77.78
  Frame 225: 29.68/77.69
  Frame 226: 29.67/77.69
  Frame 227: 29.67/77.67
  Frame 228: 29.67/77.67
  Frame 229: 29.66/77.70
  Frame 230: 29.66/77.66
  Frame 231: 29.66/77.67
  Frame 232: 29.67/77.69
  Frame 233: 29.67/77.63
  Frame 234: 29.67/77.64
  Frame 235: 29.68/77.72
  Frame 236: 29.68/77.65
  Frame 237: 29.68/77.74
  Frame 238: 29.69/77.80
  Frame 239: 29.69/77.75
  Frame 240: 29.70/77.76
  Frame 241: 29.70/77.82
  Frame 242: 29.70/77.84
  Frame 243: 29.71/77.80
  Frame 244: 29.71/77.86
  Frame 245: 29.70/77.94
  Frame 246: 29.71/77.98
  Frame 247: 29.71/77.98
  Frame 248: 29.72/77.97
  Frame 249: 29.72/77.96
  Frame 250: 29.72/78.00
  Frame 251: 29.72/77.97
  Frame 252: 29.72/77.97
  Frame 253: 29.73/77.92
  Frame 254: 29.72/77.97
  Frame 255: 29.72/77.90
  Frame 256: 29.72/77.87
  Frame 257: 29.72/77.91
  Frame 258: 29.72/77.94
  Frame 259: 29.71/77.97
  Frame 260: 29.70/77.96
  Frame 261: 29.71/77.96
  Frame 262: 29.70/77.95
  Frame 263: 29.70/77.92
  Frame 264: 29.70/77.93
  Frame 265: 29.70/77.96
  Frame 266: 29.70/77.97
  Frame 267: 29.70/77.95
  Frame 268: 29.70/77.94
  Frame 269: 29.70/77.93
  Frame 270: 29.70/77.96
  Frame 271: 29.70/77.94
  Frame 272: 29.70/77.91
  Frame 273: 29.69/77.95
  Frame 274: 29.69/77.99
  Frame 275: 29.69/78.00
  Frame 276: 29.70/77.98
  Frame 277: 29.70/77.92
  Frame 278: 29.69/77.87
  Frame 279: 29.70/77.89
  Frame 280: 29.70/77.85
  Frame 281: 29.71/77.80
  Frame 282: 29.71/77.80
  Frame 283: 29.71/77.78
  Frame 284: 29.71/77.73
  Frame 285: 29.71/77.80
  Frame 286: 29.72/77.72
  Frame 287: 29.70/77.79
  Frame 288: 29.70/77.84
  Frame 289: 29.70/77.81
  Frame 290: 29.71/77.83
  Frame 291: 29.71/77.79
  Frame 292: 29.70/77.81
  Frame 293: 29.71/77.77
  Frame 294: 29.71/77.82
  Frame 295: 29.71/77.77
  Frame 296: 29.72/77.80
  Frame 297: 29.72/77.81
  Frame 298: 29.72/77.82
  Frame 299: 29.72/77.78
  Frame 300: 29.73/77.79
  Frame 301: 29.72/77.74
  Frame 302: 29.72/77.78
  Frame 303: 29.71/77.73
  Frame 304: 29.71/77.67
  Frame 305: 29.69/77.73
  Frame 306: 29.68/77.73
  Frame 307: 29.67/77.65
  Frame 308: 29.67/77.69
  Frame 309: 29.64/77.69
  Frame 310: 29.63/77.63
  Frame 311: 29.63/77.60
  Frame 312: 29.59/77.69
  Frame 313: 29.58/77.62
  Frame 314: 29.55/77.65
  Frame 315: 29.53/77.62
  Frame 316: 29.51/77.61
  Frame 317: 29.49/77.55
  Frame 318: 29.45/77.58
  Frame 319: 29.41/77.55
  Frame 320: 29.34/77.58
  Frame 321: 29.30/77.54
  Frame 322: 29.26/77.51
  Frame 323: 29.19/77.57
  Frame 324: 29.15/77.60
  Frame 325: 29.13/77.50
  Frame 326: 29.06/77.43
  Frame 327: 29.00/77.58
  Frame 328: 28.96/77.66
  Frame 329: 28.89/77.73
  Frame 330: 28.85/77.77
  Frame 331: 28.80/77.87
  Frame 332: 28.72/77.94
  Frame 333: 28.68/77.98
  Frame 334: 28.63/78.06
  Frame 335: 28.59/78.14
  Frame 336: 28.59/78.15
  Frame 337: 28.52/78.21
  Frame 338: 28.50/78.32
  Frame 339: 28.49/78.37
  Frame 340: 28.52/78.36
  Frame 341: 28.56/78.41
  Frame 342: 28.56/78.50
  Frame 343: 28.60/78.62
  Frame 344: 28.65/78.73
  Frame 345: 28.74/78.86
  Frame 346: 28.84/78.90
  Frame 347: 28.90/79.07
  Frame 348: 29.01/79.04
  Frame 349: 29.14/78.97
  Frame 350: 29.27/79.16
  Frame 351: 29.32/79.32
  Frame 352: 29.48/79.40
  Frame 353: 29.65/79.54
  Frame 354: 29.78/79.66
  Frame 355: 29.94/79.77
  Frame 356: 30.08/79.89
  Frame 357: 30.28/80.54
  Frame 358: 30.51/81.36
  Frame 359: 30.68/81.78
  Frame 360: 30.75/82.02
  Frame 361: 30.94/82.19
  Frame 362: 31.11/82.44
  Frame 363: 31.37/83.62
  Frame 364: 31.62/84.55
  Frame 365: 31.78/84.54
  Frame 366: 32.03/85.61
  Frame 367: 32.27/86.39
  Frame 368: 32.33/85.99
  Frame 369: 32.55/86.95
  Frame 370: 32.67/87.07
  Frame 371: 32.81/87.12
  Frame 372: 33.00/87.37
  Frame 373: 33.14/87.37
  Frame 374: 33.30/87.51
  Frame 375: 33.48/87.23
  Frame 376: 33.66/88.14
  Frame 377: 33.84/88.63
  Frame 378: 34.03/89.18
  Frame 379: 34.09/89.12
  Frame 380: 34.28/89.41
  Frame 381: 34.42/89.45
  Frame 382: 34.63/90.32
  Frame 383: 34.77/90.77
  Frame 384: 34.93/91.56
  Frame 385: 35.10/92.25
  Frame 386: 35.20/92.38
  Frame 387: 35.40/92.60
  Frame 388: 35.52/93.06
  Frame 389: 35.63/92.87
  Frame 390: 35.80/93.40
  Frame 391: 35.97/93.82
  Frame 392: 36.08/94.32
  Frame 393: 36.24/94.35
  Frame 394: 36.36/94.35
  Frame 395: 36.47/94.99
  Frame 396: 36.60/95.18
  Frame 397: 36.75/95.92
  Frame 398: 36.79/95.97
  Frame 399: 36.87/95.98
  Frame 400: 36.99/96.02
  Frame 401: 37.06/96.50
  Frame 402: 37.13/97.00
  Frame 403: 37.25/96.93
  Frame 404: 37.30/97.12
  Frame 405: 37.35/97.52
  Frame 406: 37.40/97.70
  Frame 407: 37.43/98.03
  Frame 408: 37.51/98.07
  Frame 409: 37.57/99.14
  Frame 410: 37.56/98.80
  Frame 411: 37.56/98.82
  Frame 412: 37.50/98.62
  Frame 413: 37.52/98.49
  Frame 414: 37.53/98.70
  Frame 415: 37.50/98.76
  Frame 416: 37.45/98.56
  Frame 417: 37.41/98.50
  Frame 418: 37.38/98.33
  Frame 419: 37.33/98.55
  Frame 420: 37.29/98.39
  Frame 421: 37.22/97.86
  Frame 422: 37.21/98.16
  Frame 423: 37.12/97.78
  Frame 424: 37.10/97.37
  Frame 425: 37.08/97.25
  Frame 426: 37.00/97.08
  Frame 427: 36.97/97.07
  Frame 428: 36.93/96.26
  Frame 429: 36.85/95.88
  Frame 430: 36.79/95.05
  Frame 431: 36.71/94.85
  Frame 432: 36.63/94.65
  Frame 433: 36.58/94.49
  Frame 434: 36.50/93.79
  Frame 435: 36.40/93.60
  Frame 436: 36.29/93.22
  Frame 437: 36.26/92.64
  Frame 438: 36.11/92.12
  Frame 439: 36.03/91.46
  Frame 440: 35.90/90.87
  Frame 441: 35.85/90.13
  Frame 442: 35.76/90.24
  Frame 443: 35.71/89.32
  Frame 444: 35.62/88.91
  Frame 445: 35.56/88.59
  Frame 446: 35.51/88.11
  Frame 447: 35.43/87.96
  Frame 448: 35.37/88.27
  Frame 449: 35.32/89.16
  Frame 450: 35.27/89.69
  Frame 451: 35.20/89.29
  Frame 452: 35.14/89.76
  Frame 453: 35.08/89.84
  Frame 454: 35.02/89.82
  Frame 455: 34.96/90.65
  Frame 456: 34.92/91.04
  Frame 457: 34.86/91.36
  Frame 458: 34.78/91.44
  Frame 459: 34.72/91.37
  Frame 460: 34.69/91.42
  Frame 461: 34.69/92.01
  Frame 462: 34.59/91.68
  Frame 463: 34.55/91.84
  Frame 464: 34.52/91.95
  Frame 465: 34.47/92.24
  Frame 466: 34.44/92.44
  Frame 467: 34.40/92.88
  Frame 468: 34.37/93.19
  Frame 469: 34.36/93.20
  Frame 470: 34.32/93.19
  Frame 471: 34.30/93.35
  Frame 472: 34.26/93.34
  Frame 473: 34.23/93.48
  Frame 474: 34.22/93.68
  Frame 475: 34.18/93.41
  Frame 476: 34.15/93.41
  Frame 477: 34.14/93.55
  Frame 478: 34.14/93.60
  Frame 479: 34.11/93.67
  Frame 480: 34.10/93.57
  Frame 481: 34.11/93.56
  Frame 482: 34.09/93.57
  Frame 483: 34.07/93.63
  Frame 484: 34.10/93.68
  Frame 485: 34.13/93.65
  Frame 486: 34.10/93.85
  Frame 487: 34.10/93.96
  Frame 488: 34.10/94.09
  Frame 489: 34.11/94.11
  Frame 490: 34.11/93.99
  Frame 491: 34.12/94.18
  Frame 492: 34.12/94.21
  Frame 493: 34.13/94.24
  Frame 494: 34.16/94.33
  Frame 495: 34.17/94.36
  Frame 496: 34.18/94.10
  Frame 497: 34.24/94.31
  Frame 498: 34.23/94.20
  Frame 499: 34.22/94.39
  Frame 500: 34.24/94.11
  Frame 501: 34.27/94.00
  Frame 502: 34.27/93.80
  Frame 503: 34.28/93.55
  Frame 504: 34.31/93.62
  Frame 505: 34.34/93.50
  Frame 506: 34.38/93.54
  Frame 507: 34.40/93.45
  Frame 508: 34.43/93.46
  Frame 509: 34.43/93.50
  Frame 510: 34.46/93.44
  Frame 511: 34.47/93.27
