Motion Database Converter
    models/RightFingerJoint21y_joint_visu.wrl -> d19626a13a08387890317675df2c2e7fe9db5eef
    models/RightFingerJoint12y_joint_visu.wrl -> 7097cf96d3597a795575a5abe9256e0143c2ed0f
    models/LeftFingerJoint43y_joint_visu.wrl -> 395c609ed268feb940855099f538c46a54c3a4d8
    models/RightFingerJoint53y_joint_visu.wrl -> 9d95789602901425bad9b4435dea2b4be5431202
    models/LeftFingerJoint42y_joint_visu.wrl -> e487f595b7019c407f92b0f00de5260e64e56c97
    models/LAsegment_joint_visu.wrl -> bb0d5feb0455fbd2c425d138b7f487260f4bf1bc
    models/BTSegment_joint_visu.wrl -> 22abe8deeec243c99e31ec02fa59372e98ac8471
    models/RKsegment_joint_visu.wrl -> 18b381d65e3337bcb0d1ff5928773884a1e17d57
    models/LeftFingerJoint41y_joint_visu.wrl -> 61402f6746307792f4303e574af749b94086a4ec
    models/LSCsegment_joint_visu.wrl -> c32a20b7e31becf394d78b5655efc5565b038b80
    models/LeftFingerJoint11y_joint_visu.wrl -> 0cbfceda8d89deb375f7933c8078af5147ec84b2
    models/RightFingerJoint41y_joint_visu.wrl -> 020541ab865e4e3e9fa2695e0f4eff71b52ad52d
    models/RWy_joint_visu.wrl -> 2b11028aee46fb62e614338be3dd5644c1a824ee
    models/LeftFingerJoint23y_joint_visu.wrl -> 478e70ae519508040adb535da7a7998bba1b8c42
    models/RSsegment_joint_visu.wrl -> 612de2c24f203d5846930907a5df9cef5d9578dd
    models/LeftFingerJoint12y_joint_visu.wrl -> 024079388e0352cf2dd7d6c0c4d45ee34851930c
    models/LWsegment_joint_visu.wrl -> 3c8bc8f30c2fdfc5956ddac1f868ed768806d7fd
    models/RightFingerJoint22y_joint_visu.wrl -> 0b36fec3092c4692c7809ee795740f148ffb0be8
    models/RMrot_joint_visu.wrl -> a56cefc9affb5ca3f87c8ad0a9ef880f3355f2f0
    models/LeftFingerJoint40y_joint_visu.wrl -> ebee55b3729d26fb04a73d5b427025dbf464f288
    models/LeftFingerJoint21y_joint_visu.wrl -> a890d2d55d8afbe701827374715b7e671862cc4f
    models/REsegment_joint_visu.wrl -> d709750461631f850f8441b85f4861ca47df51ae
    models/RHsegment_joint_visu.wrl -> 54fb3a26ddb8f2d419752eb76c4e488efef6b43c
    models/RightFingerJoint52y_joint_visu.wrl -> 44f18db78bed86bf1ddb981a1e678027e51db918
    models/RightFingerJoint50y_joint_visu.wrl -> 13ede518eb635943fcd4564499f4fdb69d27780e
    models/LFx_joint_visu.wrl -> 5d47b342ff68d5d2b2d9c7e22c5cf098909060c6
    models/LKsegment_joint_visu.wrl -> 5780b7d3a585852e8707cb2363bfa8d4d3b461f7
    models/LeftFingerJoint13y_joint_visu.wrl -> 8a00c78adf18bdebd78a513323b5f28f02d117be
    models/RightFingerJoint51y_joint_visu.wrl -> d78052a78ea694e1d35e6b91354db0a64493fbf4
    models/RightFingerJoint11y_joint_visu.wrl -> a05a4116eafe1434c190e03faa62753bcd333105
    models/LeftFingerJoint22y_joint_visu.wrl -> 7fee0851bbbc487512ffb12e46d738fc0837aa0c
    models/LAy_joint_visu.wrl -> de3953d8ffbf479f0eb229748cfdd897a408012e
    models/LEsegment_joint_visu.wrl -> 1bf5a0382df53cb4aef1ebf578e4d535a0cd3d7b
    models/RightFingerJoint31y_joint_visu.wrl -> 4f0efb942b57fffc5b3177798a71bcdbb9b92042
    models/LeftFingerJoint32y_joint_visu.wrl -> 685ae87120ee0d9ba5d764c8ff99385aa9d79a04
    models/RightFingerJoint32y_joint_visu.wrl -> 47d29dfecd9514a3973b021c83bc361364341093
    models/LeftFingerJoint31y_joint_visu.wrl -> d24789234312bf68c77c7830508763d07f9feec0
    models/LMrot_joint_visu.wrl -> 94047f5a29e3373271bba5d61ccbbacf9bfb01af
    models/LWy_joint_visu.wrl -> 33ba8f54774fa65838a8ae38c3d558f06fe00bc0
    models/LeftFingerJoint52y_joint_visu.wrl -> 3f7d688708cf5f55104348d5bc102dcc7b7a0a66
    models/LSsegment_joint_visu.wrl -> f34e7eae1658b3ae618b5bc40ebc1da529c7e0a3
    models/RAsegment_joint_visu.wrl -> bf9735bb8cbd74e01e9087f0ccad4783edc49231
    models/LeftFingerJoint50y_joint_visu.wrl -> c2f6364fe16768bd1382d1b02c327d9dcf43fd03
    models/LeftFingerJoint51y_joint_visu.wrl -> 0c2664365d375a3d9dd190818483e292027433d3
    models/LeftHandSegment_joint_visu.wrl -> 581235ef3290f47c527e74693e4a232056642bcf
    models/BTy_joint_visu.wrl -> 818c33f75e2b278db824d223d8796b1d1ca48213
    models/RWsegment_joint_visu.wrl -> de46619cf74eb2ffe74ab7fdaaf4cd485034b959
    models/RFx_joint_visu.wrl -> 7e0fad07af2c1f6a4bad2e40caa9cdcfafa5d748

Missing subject markers: []

Subject conversion error:
Conversion Error: avg/avg = 31.44, worst avg = 40.81, worst max = 117.46

The per-frame conversion errors are: (avg/max for subject and every object)
  Frame 0: 40.81/104.52
  Frame 1: 40.72/104.09
  Frame 2: 40.64/103.91
  Frame 3: 40.60/103.25
  Frame 4: 40.57/103.19
  Frame 5: 40.57/103.00
  Frame 6: 40.56/102.86
  Frame 7: 40.47/102.39
  Frame 8: 40.45/102.17
  Frame 9: 40.46/101.94
  Frame 10: 40.47/101.71
  Frame 11: 40.45/101.61
  Frame 12: 40.44/101.42
  Frame 13: 40.44/101.25
  Frame 14: 40.43/101.13
  Frame 15: 40.43/101.09
  Frame 16: 40.43/101.03
  Frame 17: 40.43/100.76
  Frame 18: 40.42/100.69
  Frame 19: 40.41/100.68
  Frame 20: 40.39/100.57
  Frame 21: 40.40/100.48
  Frame 22: 40.40/100.40
  Frame 23: 40.39/100.33
  Frame 24: 40.40/100.22
  Frame 25: 40.39/100.28
  Frame 26: 40.40/100.21
  Frame 27: 40.39/100.10
  Frame 28: 40.38/99.97
  Frame 29: 40.38/99.93
  Frame 30: 40.37/99.98
  Frame 31: 40.37/99.91
  Frame 32: 40.35/99.91
  Frame 33: 40.34/99.90
  Frame 34: 40.34/99.76
  Frame 35: 40.34/99.69
  Frame 36: 40.33/99.63
  Frame 37: 40.33/99.58
  Frame 38: 40.31/99.59
  Frame 39: 40.32/99.51
  Frame 40: 40.31/99.48
  Frame 41: 40.30/99.42
  Frame 42: 40.29/99.36
  Frame 43: 40.29/99.31
  Frame 44: 40.28/99.31
  Frame 45: 40.26/99.18
  Frame 46: 40.27/99.15
  Frame 47: 40.27/99.14
  Frame 48: 40.26/99.04
  Frame 49: 40.23/98.80
  Frame 50: 40.23/98.76
  Frame 51: 40.24/98.55
  Frame 52: 40.23/98.42
  Frame 53: 40.24/98.38
  Frame 54: 40.24/98.32
  Frame 55: 40.24/98.18
  Frame 56: 40.24/98.08
  Frame 57: 40.25/97.95
  Frame 58: 40.23/97.98
  Frame 59: 40.24/97.76
  Frame 60: 40.24/97.75
  Frame 61: 40.24/97.72
  Frame 62: 40.23/97.48
  Frame 63: 40.22/97.40
  Frame 64: 40.21/97.44
  Frame 65: 40.20/97.27
  Frame 66: 40.20/97.28
  Frame 67: 40.19/97.20
  Frame 68: 40.19/97.04
  Frame 69: 40.18/96.99
  Frame 70: 40.17/96.95
  Frame 71: 40.16/96.94
  Frame 72: 40.15/96.92
  Frame 73: 40.14/96.82
  Frame 74: 40.15/96.67
  Frame 75: 40.15/96.54
  Frame 76: 40.15/96.47
  Frame 77: 40.15/96.37
  Frame 78: 40.16/96.14
  Frame 79: 40.09/96.05
  Frame 80: 40.11/95.86
  Frame 81: 40.11/95.77
  Frame 82: 40.10/95.66
  Frame 83: 40.12/95.41
  Frame 84: 40.11/95.45
  Frame 85: 40.12/95.22
  Frame 86: 40.10/95.17
  Frame 87: 40.09/95.12
  Frame 88: 40.09/94.93
  Frame 89: 40.09/94.81
  Frame 90: 40.08/94.66
  Frame 91: 40.06/94.64
  Frame 92: 40.04/94.51
  Frame 93: 40.03/94.32
  Frame 94: 40.03/94.23
  Frame 95: 40.01/94.10
  Frame 96: 40.01/93.97
  Frame 97: 40.01/93.91
  Frame 98: 39.94/93.70
  Frame 99: 39.93/93.52
  Frame 100: 39.94/93.30
  Frame 101: 39.95/93.18
  Frame 102: 39.92/93.08
  Frame 103: 39.92/92.88
  Frame 104: 39.93/92.73
  Frame 105: 39.92/92.65
  Frame 106: 39.90/92.43
  Frame 107: 39.90/92.40
  Frame 108: 39.89/92.42
  Frame 109: 39.89/92.56
  Frame 110: 39.89/92.45
  Frame 111: 39.89/92.54
  Frame 112: 39.88/92.75
  Frame 113: 39.85/93.36
  Frame 114: 39.84/93.56
  Frame 115: 39.84/93.55
  Frame 116: 39.83/93.44
  Frame 117: 39.75/94.93
  Frame 118: 39.76/94.79
  Frame 119: 39.77/94.41
  Frame 120: 39.76/94.60
  Frame 121: 39.76/94.58
  Frame 122: 39.74/94.83
  Frame 123: 39.73/94.95
  Frame 124: 39.72/95.07
  Frame 125: 39.70/95.16
  Frame 126: 39.68/95.27
  Frame 127: 39.66/95.24
  Frame 128: 39.65/95.98
  Frame 129: 39.64/95.50
  Frame 130: 39.65/95.18
  Frame 131: 39.61/95.28
  Frame 132: 39.61/95.10
  Frame 133: 39.60/94.95
  Frame 134: 39.56/95.65
  Frame 135: 39.55/95.41
  Frame 136: 39.55/95.26
  Frame 137: 39.51/95.17
  Frame 138: 39.49/95.07
  Frame 139: 39.45/95.73
  Frame 140: 39.44/95.37
  Frame 141: 39.41/95.44
  Frame 142: 39.41/95.43
  Frame 143: 39.36/95.50
  Frame 144: 39.30/95.61
  Frame 145: 39.27/95.61
  Frame 146: 39.23/96.06
  Frame 147: 39.19/95.72
  Frame 148: 39.18/94.75
  Frame 149: 39.10/95.26
  Frame 150: 39.01/96.02
  Frame 151: 38.96/95.43
  Frame 152: 38.91/94.50
  Frame 153: 38.86/94.85
  Frame 154: 38.76/95.13
  Frame 155: 38.70/94.56
  Frame 156: 38.61/95.29
  Frame 157: 38.50/95.39
  Frame 158: 38.46/95.27
  Frame 159: 38.37/95.61
  Frame 160: 38.36/94.98
  Frame 161: 38.28/94.27
  Frame 162: 38.18/94.57
  Frame 163: 38.09/94.57
  Frame 164: 38.00/94.41
  Frame 165: 37.93/93.54
  Frame 166: 37.87/93.66
  Frame 167: 37.70/94.05
  Frame 168: 37.62/93.63
  Frame 169: 37.59/93.24
  Frame 170: 37.50/93.18
  Frame 171: 37.35/92.43
  Frame 172: 37.24/91.40
  Frame 173: 37.10/91.61
  Frame 174: 36.95/92.31
  Frame 175: 36.81/91.28
  Frame 176: 36.74/91.13
  Frame 177: 36.57/91.12
  Frame 178: 36.43/91.16
  Frame 179: 36.24/89.60
  Frame 180: 36.13/90.37
  Frame 181: 36.00/90.37
  Frame 182: 35.72/89.98
  Frame 183: 35.52/89.04
  Frame 184: 35.38/87.65
  Frame 185: 35.19/87.34
  Frame 186: 35.02/86.92
  Frame 187: 34.86/87.19
  Frame 188: 34.66/86.27
  Frame 189: 34.38/84.00
  Frame 190: 34.17/82.76
  Frame 191: 33.94/83.14
  Frame 192: 33.73/82.94
  Frame 193: 33.49/83.04
  Frame 194: 33.28/83.03
  Frame 195: 33.07/82.87
  Frame 196: 32.84/82.89
  Frame 197: 32.64/82.76
  Frame 198: 32.43/82.66
  Frame 199: 32.27/82.75
  Frame 200: 32.07/82.72
  Frame 201: 31.89/82.71
  Frame 202: 31.70/82.76
  Frame 203: 31.61/82.63
  Frame 204: 31.39/82.65
  Frame 205: 31.23/82.47
  Frame 206: 31.04/82.51
  Frame 207: 30.88/82.45
  Frame 208: 30.72/82.44
  Frame 209: 30.62/82.39
  Frame 210: 30.47/82.37
  Frame 211: 30.35/82.31
  Frame 212: 30.24/82.23
  Frame 213: 30.16/82.04
  Frame 214: 30.05/82.00
  Frame 215: 29.95/81.88
  Frame 216: 29.86/81.90
  Frame 217: 29.80/81.69
  Frame 218: 29.68/81.73
  Frame 219: 29.59/81.59
  Frame 220: 29.51/81.67
  Frame 221: 29.43/81.50
  Frame 222: 29.36/81.47
  Frame 223: 29.30/81.42
  Frame 224: 29.25/81.43
  Frame 225: 29.21/81.33
  Frame 226: 29.16/81.20
  Frame 227: 29.12/81.07
  Frame 228: 29.08/81.10
  Frame 229: 29.04/81.09
  Frame 230: 29.02/81.01
  Frame 231: 29.00/81.05
  Frame 232: 28.98/81.02
  Frame 233: 28.97/80.96
  Frame 234: 28.97/80.92
  Frame 235: 28.95/81.00
  Frame 236: 28.97/81.01
  Frame 237: 28.97/80.94
  Frame 238: 28.99/80.84
  Frame 239: 28.99/80.88
  Frame 240: 29.03/80.94
  Frame 241: 29.01/81.00
  Frame 242: 29.03/80.99
  Frame 243: 29.04/80.96
  Frame 244: 29.01/80.90
  Frame 245: 29.01/80.88
  Frame 246: 29.02/80.90
  Frame 247: 29.02/80.90
  Frame 248: 29.01/80.90
  Frame 249: 29.03/80.83
  Frame 250: 29.03/80.83
  Frame 251: 29.02/80.75
  Frame 252: 29.01/80.77
  Frame 253: 29.02/80.74
  Frame 254: 29.02/80.68
  Frame 255: 29.00/80.63
  Frame 256: 29.01/80.64
  Frame 257: 29.01/80.61
  Frame 258: 29.01/80.63
  Frame 259: 29.02/80.52
  Frame 260: 29.04/80.53
  Frame 261: 29.04/80.48
  Frame 262: 29.05/80.41
  Frame 263: 29.06/80.39
  Frame 264: 29.07/80.39
  Frame 265: 29.08/80.43
  Frame 266: 29.09/80.35
  Frame 267: 29.11/80.34
  Frame 268: 29.12/80.31
  Frame 269: 29.13/80.28
  Frame 270: 29.13/80.38
  Frame 271: 29.15/80.25
  Frame 272: 29.15/80.16
  Frame 273: 29.16/80.19
  Frame 274: 29.16/80.23
  Frame 275: 29.17/80.19
  Frame 276: 29.19/80.20
  Frame 277: 29.19/80.16
  Frame 278: 29.20/80.18
  Frame 279: 29.21/80.20
  Frame 280: 29.23/80.15
  Frame 281: 29.25/80.12
  Frame 282: 29.25/80.09
  Frame 283: 29.27/80.11
  Frame 284: 29.28/80.07
  Frame 285: 29.29/80.02
  Frame 286: 29.29/80.02
  Frame 287: 29.30/80.03
  Frame 288: 29.31/80.02
  Frame 289: 29.33/79.97
  Frame 290: 29.33/79.89
  Frame 291: 29.34/79.87
  Frame 292: 29.35/79.92
  Frame 293: 29.36/79.84
  Frame 294: 29.37/79.86
  Frame 295: 29.37/79.79
  Frame 296: 29.38/79.81
  Frame 297: 29.39/79.64
  Frame 298: 29.39/79.68
  Frame 299: 29.39/79.69
  Frame 300: 29.40/79.70
  Frame 301: 29.41/79.64
  Frame 302: 29.41/79.65
  Frame 303: 29.41/79.71
  Frame 304: 29.40/79.62
  Frame 305: 29.41/79.63
  Frame 306: 29.40/79.60
  Frame 307: 29.40/79.67
  Frame 308: 29.41/79.66
  Frame 309: 29.41/79.61
  Frame 310: 29.41/79.69
  Frame 311: 29.41/79.73
  Frame 312: 29.41/79.73
  Frame 313: 29.42/79.65
  Frame 314: 29.42/79.70
  Frame 315: 29.42/79.71
  Frame 316: 29.42/79.72
  Frame 317: 29.42/79.70
  Frame 318: 29.44/79.64
  Frame 319: 29.44/79.69
  Frame 320: 29.43/79.68
  Frame 321: 29.43/79.66
  Frame 322: 29.44/79.65
  Frame 323: 29.43/79.66
  Frame 324: 29.44/79.61
  Frame 325: 29.43/79.61
  Frame 326: 29.43/79.56
  Frame 327: 29.43/79.58
  Frame 328: 29.43/79.59
  Frame 329: 29.42/79.58
  Frame 330: 29.42/79.50
  Frame 331: 29.42/79.48
  Frame 332: 29.42/79.46
  Frame 333: 29.42/79.50
  Frame 334: 29.41/79.44
  Frame 335: 29.41/79.45
  Frame 336: 29.41/79.42
  Frame 337: 29.41/79.44
  Frame 338: 29.41/79.40
  Frame 339: 29.41/79.42
  Frame 340: 29.41/79.37
  Frame 341: 29.42/79.38
  Frame 342: 29.42/79.36
  Frame 343: 29.42/79.34
  Frame 344: 29.42/79.34
  Frame 345: 29.42/79.35
  Frame 346: 29.42/79.32
  Frame 347: 29.42/79.30
  Frame 348: 29.42/79.30
  Frame 349: 29.42/79.28
  Frame 350: 29.41/79.30
  Frame 351: 29.41/79.33
  Frame 352: 29.41/79.29
  Frame 353: 29.42/79.23
  Frame 354: 29.41/79.26
  Frame 355: 29.41/79.28
  Frame 356: 29.41/79.27
  Frame 357: 29.41/79.26
  Frame 358: 29.41/79.28
  Frame 359: 29.41/79.28
  Frame 360: 29.42/79.23
  Frame 361: 29.41/79.25
  Frame 362: 29.42/79.26
  Frame 363: 29.42/79.22
  Frame 364: 29.42/79.20
  Frame 365: 29.42/79.26
  Frame 366: 29.43/79.21
  Frame 367: 29.42/79.26
  Frame 368: 29.42/79.26
  Frame 369: 29.42/79.25
  Frame 370: 29.42/79.27
  Frame 371: 29.41/79.25
  Frame 372: 29.41/79.27
  Frame 373: 29.41/79.33
  Frame 374: 29.41/79.28
  Frame 375: 29.41/79.29
  Frame 376: 29.40/79.32
  Frame 377: 29.40/79.33
  Frame 378: 29.40/79.33
  Frame 379: 29.39/79.32
  Frame 380: 29.39/79.31
  Frame 381: 29.39/79.30
  Frame 382: 29.38/79.35
  Frame 383: 29.39/79.34
  Frame 384: 29.38/79.36
  Frame 385: 29.39/79.27
  Frame 386: 29.38/79.29
  Frame 387: 29.38/79.26
  Frame 388: 29.38/79.30
  Frame 389: 29.38/79.27
  Frame 390: 29.38/79.29
  Frame 391: 29.38/79.32
  Frame 392: 29.39/79.28
  Frame 393: 29.39/79.26
  Frame 394: 29.39/79.27
  Frame 395: 29.39/79.21
  Frame 396: 29.39/79.22
  Frame 397: 29.39/79.26
  Frame 398: 29.39/79.22
  Frame 399: 29.39/79.26
  Frame 400: 29.39/79.22
  Frame 401: 29.39/79.25
  Frame 402: 29.39/79.21
  Frame 403: 29.39/79.23
  Frame 404: 29.40/79.24
  Frame 405: 29.40/79.23
  Frame 406: 29.40/79.23
  Frame 407: 29.41/79.22
  Frame 408: 29.41/79.23
  Frame 409: 29.42/79.21
  Frame 410: 29.42/79.27
  Frame 411: 29.42/79.22
  Frame 412: 29.42/79.25
  Frame 413: 29.43/79.24
  Frame 414: 29.43/79.24
  Frame 415: 29.43/79.23
  Frame 416: 29.43/79.23
  Frame 417: 29.42/79.23
  Frame 418: 29.42/79.23
  Frame 419: 29.41/79.27
  Frame 420: 29.40/79.25
  Frame 421: 29.38/79.26
  Frame 422: 29.38/79.28
  Frame 423: 29.35/79.29
  Frame 424: 29.33/79.32
  Frame 425: 29.31/79.32
  Frame 426: 29.27/79.39
  Frame 427: 29.24/79.38
  Frame 428: 29.18/79.46
  Frame 429: 29.16/79.41
  Frame 430: 29.11/79.48
  Frame 431: 29.07/79.57
  Frame 432: 29.07/79.68
  Frame 433: 29.03/79.63
  Frame 434: 28.99/79.74
  Frame 435: 28.97/79.76
  Frame 436: 28.96/79.83
  Frame 437: 28.98/79.80
  Frame 438: 28.96/79.87
  Frame 439: 28.97/79.88
  Frame 440: 28.99/79.82
  Frame 441: 28.97/79.73
  Frame 442: 29.00/79.78
  Frame 443: 28.99/79.84
  Frame 444: 29.03/79.85
  Frame 445: 29.01/79.88
  Frame 446: 29.04/79.85
  Frame 447: 29.06/79.87
  Frame 448: 29.08/79.90
  Frame 449: 29.08/79.96
  Frame 450: 29.11/79.96
  Frame 451: 29.14/80.05
  Frame 452: 29.17/79.99
  Frame 453: 29.21/80.14
  Frame 454: 29.22/80.11
  Frame 455: 29.24/80.07
  Frame 456: 29.28/80.18
  Frame 457: 29.29/80.22
  Frame 458: 29.31/80.11
  Frame 459: 29.36/80.24
  Frame 460: 29.39/80.39
  Frame 461: 29.41/80.43
  Frame 462: 29.43/80.57
  Frame 463: 29.45/80.62
  Frame 464: 29.49/80.57
  Frame 465: 29.55/80.57
  Frame 466: 29.56/80.40
  Frame 467: 29.60/80.40
  Frame 468: 29.62/80.67
  Frame 469: 29.65/80.68
  Frame 470: 29.68/80.64
  Frame 471: 29.71/80.93
  Frame 472: 29.75/80.97
  Frame 473: 29.77/80.89
  Frame 474: 29.81/80.91
  Frame 475: 29.84/80.90
  Frame 476: 29.86/80.97
  Frame 477: 29.92/81.23
  Frame 478: 29.91/81.58
  Frame 479: 29.94/81.90
  Frame 480: 29.98/82.16
  Frame 481: 29.98/82.46
  Frame 482: 29.97/82.47
  Frame 483: 29.99/82.58
  Frame 484: 30.03/82.78
  Frame 485: 30.03/82.58
  Frame 486: 30.04/82.46
  Frame 487: 30.07/82.47
  Frame 488: 30.10/82.41
  Frame 489: 30.05/82.48
  Frame 490: 30.11/82.32
  Frame 491: 30.11/82.46
  Frame 492: 30.13/82.60
  Frame 493: 30.15/82.59
  Frame 494: 30.19/82.49
  Frame 495: 30.17/82.36
  Frame 496: 30.16/82.45
  Frame 497: 30.16/82.29
  Frame 498: 30.16/82.42
  Frame 499: 30.17/82.31
  Frame 500: 30.17/82.42
  Frame 501: 30.11/82.28
  Frame 502: 30.13/81.99
  Frame 503: 30.12/81.92
  Frame 504: 30.14/81.72
  Frame 505: 30.12/81.57
  Frame 506: 30.09/81.64
  Frame 507: 30.08/81.32
  Frame 508: 30.04/81.21
  Frame 509: 30.02/81.06
  Frame 510: 29.99/81.12
  Frame 511: 29.98/81.16
